MDVP_Fo_Hz,MDVP_Fhi_Hz,MDVP_Flo_Hz,MDVP_Jitter_percent,MDVP_Jitter_Abs,MDVP_RAP,MDVP_PPQ,Jitter_DDP,MDVP_Shimmer,MDVP_Shimmer_dB,Shimmer_APQ3,Shimmer_APQ5,MDVP_APQ,Shimmer_DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
122.188,128.611,115.765,0.00524,4e-05,0.00169,0.00203,0.00507,0.01613,0.143,0.00855,0.00776,0.01433,0.02566,0.00839,23.162,0.579597,0.733659,-6.439398,0.266392,2.079922,0.133867
153.848,165.738,65.782,0.0084,5e-05,0.00428,0.0045,0.01285,0.0381,0.328,0.01667,0.02383,0.04055,0.05,0.03871,17.536,0.660125,0.704087,-4.095442,0.262564,2.73971,0.365391
114.238,124.393,77.022,0.00581,5e-05,0.00299,0.00316,0.00896,0.04009,0.406,0.01579,0.01994,0.04114,0.04736,0.02073,20.437,0.653139,0.694571,-5.185987,0.259229,2.151121,0.244948
162.568,198.346,77.63,0.00502,3e-05,0.0028,0.00253,0.00841,0.01791,0.168,0.00793,0.01057,0.01799,0.0238,0.0117,25.678,0.427785,0.723797,-6.635729,0.209866,1.957961,0.135242
119.1,128.442,88.833,0.00692,6e-05,0.00393,0.003,0.01179,0.02682,0.236,0.01484,0.01405,0.02018,0.04451,0.04611,21.824,0.65168,0.659333,-4.239028,0.175691,2.45113,0.247455
206.327,226.355,92.02,0.00495,2e-05,0.00302,0.00246,0.00905,0.02105,0.209,0.01107,0.01284,0.01604,0.0332,0.01048,21.864,0.331508,0.715121,-6.729713,0.181701,2.938114,0.115515
180.198,201.249,175.456,0.00284,2e-05,0.00153,0.00166,0.00459,0.01444,0.131,0.00726,0.00885,0.0119,0.02177,0.00231,26.738,0.403884,0.766209,-6.452058,0.212294,2.269398,0.141929
120.267,137.244,114.82,0.00333,3e-05,0.00155,0.00202,0.00466,0.01608,0.14,0.00779,0.00937,0.01351,0.02337,0.00607,24.886,0.59604,0.764112,-5.634322,0.257682,1.854785,0.211756
110.793,128.101,107.316,0.00494,4e-05,0.0026,0.00283,0.0078,0.02442,0.216,0.01432,0.01325,0.01831,0.04295,0.00479,25.438,0.437031,0.815908,-5.31336,0.201861,2.225815,0.244512
150.258,154.609,75.349,0.00248,2e-05,0.00105,0.00136,0.00315,0.01131,0.107,0.00522,0.00659,0.01009,0.01567,0.00495,26.759,0.296888,0.722356,-6.878393,0.089267,2.004055,0.113942
157.821,172.975,68.401,0.00358,2e-05,0.00196,0.00196,0.00587,0.03716,0.307,0.02062,0.02321,0.02764,0.06185,0.0085,22.219,0.50238,0.71217,-6.251425,0.188056,2.143851,0.160812
122.336,142.369,94.794,0.00727,6e-05,0.00415,0.00339,0.01246,0.02293,0.223,0.01205,0.01289,0.01771,0.03615,0.03191,22.953,0.611679,0.623731,-5.4351,0.230532,2.699645,0.220546
145.174,198.109,80.637,0.00733,5e-05,0.00414,0.00422,0.01242,0.02362,0.233,0.01235,0.01495,0.01944,0.03706,0.01874,18.857,0.637518,0.735546,-5.594275,0.12795,1.765957,0.222716
260.105,264.919,237.303,0.00339,1e-05,0.00205,0.00186,0.00616,0.0203,0.197,0.01186,0.0123,0.01367,0.03557,0.0091,21.083,0.440988,0.628058,-7.517934,0.160414,1.881767,0.075587
116.848,217.552,99.503,0.00531,5e-05,0.0026,0.00346,0.0078,0.01795,0.163,0.0081,0.01144,0.01756,0.02429,0.01179,22.085,0.663842,0.656516,-5.198864,0.206768,2.120412,0.252404
142.729,162.408,65.476,0.00831,6e-05,0.00469,0.00419,0.01407,0.03485,0.365,0.01868,0.01906,0.02949,0.05605,0.02599,20.264,0.489345,0.730387,-5.720868,0.15883,2.277927,0.180828
156.239,195.107,79.82,0.00694,4e-05,0.00403,0.00395,0.01209,0.02343,0.224,0.01289,0.0142,0.0172,0.03867,0.0202,19.196,0.618663,0.728421,-5.944191,0.143359,1.929715,0.181988
183.52,216.814,161.34,0.01466,8e-05,0.00849,0.00819,0.02546,0.0605,0.618,0.02865,0.04101,0.06359,0.08595,0.06057,14.367,0.478024,0.768974,-4.276605,0.355736,3.142364,0.336085
208.519,220.315,199.02,0.00609,3e-05,0.00368,0.00339,0.01105,0.01761,0.155,0.00952,0.01058,0.01307,0.02855,0.0083,22.407,0.338097,0.712466,-6.471427,0.184378,2.502336,0.13639
149.689,160.368,133.608,0.00257,2e-05,0.00116,0.00134,0.00349,0.01346,0.126,0.0066,0.00818,0.01059,0.01979,0.00578,27.421,0.365488,0.719974,-6.997403,0.210279,1.994387,0.112878
171.041,208.313,75.501,0.00455,3e-05,0.0025,0.00234,0.0075,0.01966,0.186,0.00889,0.01169,0.01872,0.02666,0.01095,25.908,0.418622,0.720916,-6.18359,0.226278,2.589702,0.147403
