Disease,Model,Feature,Importance Score
Chronic Kidney Disease,Logistic Regression,age,0.414565
Chronic Kidney Disease,Logistic Regression,bp,0.789648
Chronic Kidney Disease,Logistic Regression,sg,2.957829
Chronic Kidney Disease,Logistic Regression,al,1.944203
Chronic Kidney Disease,Logistic Regression,su,1.242594
Chronic Kidney Disease,Logistic Regression,bgr,1.328646
Chronic Kidney Disease,Logistic Regression,bu,0.474127
Chronic Kidney Disease,Logistic Regression,sc,2.145837
Chronic Kidney Disease,Logistic Regression,sod,0.613748
Chronic Kidney Disease,Logistic Regression,pot,0.255935
Chronic Kidney Disease,Logistic Regression,hemo,3.071025
Chronic Kidney Disease,Logistic Regression,pcv,2.48546
Chronic Kidney Disease,Logistic Regression,wc,0.635381
Chronic Kidney Disease,Logistic Regression,rc,1.511191
Chronic Kidney Disease,Logistic Regression,rbc,0.682536
Chronic Kidney Disease,Logistic Regression,pc,0.679807
Chronic Kidney Disease,Logistic Regression,pcc,0.333481
Chronic Kidney Disease,Logistic Regression,ba,0.074985
Chronic Kidney Disease,Logistic Regression,htn,3.19246
Chronic Kidney Disease,Logistic Regression,dm,2.879921
Chronic Kidney Disease,Logistic Regression,cad,0.002913
Chronic Kidney Disease,Logistic Regression,appet,3.148343
Chronic Kidney Disease,Logistic Regression,pe,1.049772
Chronic Kidney Disease,Logistic Regression,ane,0.719671
