Disease,Model,Feature,Importance Score
Chronic Kidney Disease,Random Forest,age,0.004406
Chronic Kidney Disease,Random Forest,bp,0.004759
Chronic Kidney Disease,Random Forest,sg,0.108759
Chronic Kidney Disease,Random Forest,al,0.038545
Chronic Kidney Disease,Random Forest,su,0.005969
Chronic Kidney Disease,Random Forest,bgr,0.020317
Chronic Kidney Disease,Random Forest,bu,0.019945
Chronic Kidney Disease,Random Forest,sc,0.131132
Chronic Kidney Disease,Random Forest,sod,0.013697
Chronic Kidney Disease,Random Forest,pot,0.004255
Chronic Kidney Disease,Random Forest,hemo,0.240107
Chronic Kidney Disease,Random Forest,pcv,0.162574
Chronic Kidney Disease,Random Forest,wc,0.00677
Chronic Kidney Disease,Random Forest,rc,0.107714
Chronic Kidney Disease,Random Forest,rbc,0.001675
Chronic Kidney Disease,Random Forest,pc,0.007641
Chronic Kidney Disease,Random Forest,pcc,0.000844
Chronic Kidney Disease,Random Forest,ba,0.000225
Chronic Kidney Disease,Random Forest,htn,0.062465
Chronic Kidney Disease,Random Forest,dm,0.042316
Chronic Kidney Disease,Random Forest,cad,0.000816
Chronic Kidney Disease,Random Forest,appet,0.008704
Chronic Kidney Disease,Random Forest,pe,0.004093
Chronic Kidney Disease,Random Forest,ane,0.002272
