Disease,Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV Mean Accuracy
Diabetes,Logistic Regression,0.7078,0.5714,0.6667,0.6154,0.8085,0.7589
Diabetes,Random Forest,0.7208,0.5733,0.7963,0.6667,0.8248,0.7638
Diabetes,XGBoost,0.7403,0.5921,0.8333,0.6923,0.8167,0.7589
Heart Disease,Logistic Regression,0.85,0.8519,0.8214,0.8364,0.9498,0.8143
Heart Disease,Random Forest,0.8667,0.8846,0.8214,0.8519,0.9408,0.8099
Heart Disease,XGBoost,0.8333,0.875,0.75,0.8077,0.933,0.8099
Liver Disease,Logistic Regression,0.7094,0.9153,0.6506,0.7606,0.8398,0.6288
Liver Disease,Random Forest,0.7265,0.8493,0.747,0.7949,0.8047,0.6523
Liver Disease,XGBoost,0.735,0.7766,0.8795,0.8249,0.7562,0.6931
Chronic Kidney Disease,Logistic Regression,0.975,1.0,0.96,0.9796,0.9993,0.9938
Chronic Kidney Disease,Random Forest,1.0,1.0,1.0,1.0,1.0,0.9906
Chronic Kidney Disease,XGBoost,1.0,1.0,1.0,1.0,1.0,0.9812
